Discipline,Specialty,Year,OutDiscRef,OutDiscCit
Biomedical Research,Genetics & Heredity,1967,0.25,0.35
Biomedical Research,Genetics & Heredity,1968,0.24,0.35
Biomedical Research,Genetics & Heredity,1969,0.24,0.33
Biomedical Research,Genetics & Heredity,1970,0.26,0.35
Biomedical Research,Genetics & Heredity,1971,0.23,0.33
Biomedical Research,Genetics & Heredity,1972,0.24,0.33
Biomedical Research,Genetics & Heredity,1973,0.23,0.31
Biomedical Research,Genetics & Heredity,1974,0.22,0.31
Biomedical Research,Genetics & Heredity,1975,0.23,0.35
Biomedical Research,Genetics & Heredity,1976,0.23,0.34
Biomedical Research,Genetics & Heredity,1977,0.19,0.32
Biomedical Research,Genetics & Heredity,1978,0.21,0.37
Biomedical Research,Genetics & Heredity,1979,0.2,0.33
Biomedical Research,Genetics & Heredity,1980,0.2,0.34
Biomedical Research,Genetics & Heredity,1981,0.21,0.35
Biomedical Research,Genetics & Heredity,1982,0.23,0.33
Biomedical Research,Genetics & Heredity,1983,0.25,0.36
Biomedical Research,Genetics & Heredity,1984,0.22,0.33
Biomedical Research,Genetics & Heredity,1985,0.22,0.35
Biomedical Research,Genetics & Heredity,1986,0.2,0.35
Biomedical Research,Genetics & Heredity,1987,0.21,0.33
Biomedical Research,Genetics & Heredity,1988,0.19,0.34
Biomedical Research,Genetics & Heredity,1989,0.19,0.35
Biomedical Research,Genetics & Heredity,1990,0.2,0.36
Biomedical Research,Genetics & Heredity,1991,0.18,0.37
Biomedical Research,Genetics & Heredity,1992,0.19,0.38
Biomedical Research,Genetics & Heredity,1993,0.19,0.4
Biomedical Research,Genetics & Heredity,1994,0.19,0.41
Biomedical Research,Genetics & Heredity,1995,0.2,0.42
Biomedical Research,Genetics & Heredity,1996,0.21,0.42
Biomedical Research,Genetics & Heredity,1997,0.22,0.43
Biomedical Research,Genetics & Heredity,1998,0.22,0.43
Biomedical Research,Genetics & Heredity,1999,0.24,0.45
Biomedical Research,Genetics & Heredity,2000,0.24,0.45
Biomedical Research,Genetics & Heredity,2001,0.26,0.45
Biomedical Research,Genetics & Heredity,2002,0.27,0.45
Biomedical Research,Genetics & Heredity,2003,0.29,0.46
Biomedical Research,Genetics & Heredity,2004,0.3,0.45
Biomedical Research,Genetics & Heredity,2005,0.3,0.45
Biomedical Research,Genetics & Heredity,2006,0.31,0.45
Biomedical Research,Genetics & Heredity,2007,0.32,0.45
Biomedical Research,Genetics & Heredity,2008,0.33,0.45
Biomedical Research,Genetics & Heredity,2009,0.34,0.44
Biomedical Research,Genetics & Heredity,2010,0.35,0.43
Biomedical Research,Genetics & Heredity,2011,0.35,0.42
Biomedical Research,Genetics & Heredity,2012,0.35,0.42
Biomedical Research,Genetics & Heredity,2013,0.36,0.42
Biomedical Research,Genetics & Heredity,2014,0.36,0.41
Biomedical Research,Microbiology,1950,0.52,0.33
Biomedical Research,Microbiology,1951,0.42,0.34
Biomedical Research,Microbiology,1952,0.44,0.35
Biomedical Research,Microbiology,1953,0.45,0.33
Biomedical Research,Microbiology,1954,0.42,0.33
Biomedical Research,Microbiology,1955,0.4,0.34
Biomedical Research,Microbiology,1956,0.39,0.37
Biomedical Research,Microbiology,1957,0.37,0.38
Biomedical Research,Microbiology,1958,0.38,0.38
Biomedical Research,Microbiology,1959,0.38,0.38
Biomedical Research,Microbiology,1960,0.38,0.36
Biomedical Research,Microbiology,1961,0.37,0.37
Biomedical Research,Microbiology,1962,0.35,0.42
Biomedical Research,Microbiology,1963,0.34,0.39
Biomedical Research,Microbiology,1964,0.31,0.38
Biomedical Research,Microbiology,1965,0.3,0.38
Biomedical Research,Microbiology,1966,0.28,0.42
Biomedical Research,Microbiology,1967,0.29,0.36
Biomedical Research,Microbiology,1968,0.27,0.35
Biomedical Research,Microbiology,1969,0.24,0.36
Biomedical Research,Microbiology,1970,0.24,0.34
Biomedical Research,Microbiology,1971,0.26,0.35
Biomedical Research,Microbiology,1972,0.24,0.32
Biomedical Research,Microbiology,1973,0.25,0.33
Biomedical Research,Microbiology,1974,0.25,0.32
Biomedical Research,Microbiology,1975,0.23,0.34
Biomedical Research,Microbiology,1976,0.26,0.34
Biomedical Research,Microbiology,1977,0.25,0.35
Biomedical Research,Microbiology,1978,0.26,0.33
Biomedical Research,Microbiology,1979,0.27,0.36
Biomedical Research,Microbiology,1980,0.26,0.36
Biomedical Research,Microbiology,1981,0.27,0.35
Biomedical Research,Microbiology,1982,0.26,0.35
Biomedical Research,Microbiology,1983,0.27,0.33
Biomedical Research,Microbiology,1984,0.28,0.34
Biomedical Research,Microbiology,1985,0.27,0.35
Biomedical Research,Microbiology,1986,0.29,0.37
Biomedical Research,Microbiology,1987,0.29,0.35
Biomedical Research,Microbiology,1988,0.27,0.35
Biomedical Research,Microbiology,1989,0.27,0.34
Biomedical Research,Microbiology,1990,0.26,0.35
Biomedical Research,Microbiology,1991,0.25,0.35
Biomedical Research,Microbiology,1992,0.26,0.36
Biomedical Research,Microbiology,1993,0.23,0.35
Biomedical Research,Microbiology,1994,0.24,0.35
Biomedical Research,Microbiology,1995,0.24,0.37
Biomedical Research,Microbiology,1996,0.26,0.36
Biomedical Research,Microbiology,1997,0.25,0.37
Biomedical Research,Microbiology,1998,0.25,0.37
Biomedical Research,Microbiology,1999,0.26,0.38
Biomedical Research,Microbiology,2000,0.27,0.39
Biomedical Research,Microbiology,2001,0.28,0.38
Biomedical Research,Microbiology,2002,0.28,0.39
Biomedical Research,Microbiology,2003,0.28,0.39
Biomedical Research,Microbiology,2004,0.29,0.39
Biomedical Research,Microbiology,2005,0.3,0.39
Biomedical Research,Microbiology,2006,0.3,0.39
Biomedical Research,Microbiology,2007,0.3,0.39
Biomedical Research,Microbiology,2008,0.32,0.4
Biomedical Research,Microbiology,2009,0.33,0.39
Biomedical Research,Microbiology,2010,0.35,0.39
Biomedical Research,Microbiology,2011,0.36,0.39
Biomedical Research,Microbiology,2012,0.35,0.38
Biomedical Research,Microbiology,2013,0.35,0.37
Biomedical Research,Microbiology,2014,0.36,0.37
Biomedical Research,Microscopy,1952,0.6,0.34
Biomedical Research,Microscopy,1954,0.47,0.4
Biomedical Research,Microscopy,1964,0.19,0.22
Biomedical Research,Microscopy,1965,0.34,0.38
Biomedical Research,Microscopy,1966,0.35,0.42
Biomedical Research,Microscopy,1967,0.29,0.46
Biomedical Research,Microscopy,1968,0.31,0.39
Biomedical Research,Microscopy,1969,0.33,0.43
Biomedical Research,Microscopy,1970,0.29,0.52
Biomedical Research,Microscopy,1971,0.31,0.47
Biomedical Research,Microscopy,1972,0.3,0.5
Biomedical Research,Microscopy,1973,0.41,0.54
Biomedical Research,Microscopy,1974,0.35,0.52
Biomedical Research,Microscopy,1975,0.34,0.54
Biomedical Research,Microscopy,1976,0.37,0.41
Biomedical Research,Microscopy,1977,0.41,0.53
Biomedical Research,Microscopy,1978,0.41,0.45
Biomedical Research,Microscopy,1979,0.46,0.52
Biomedical Research,Microscopy,1980,0.51,0.52
Biomedical Research,Microscopy,1981,0.55,0.41
Biomedical Research,Microscopy,1982,0.49,0.38
Biomedical Research,Microscopy,1983,0.59,0.54
Biomedical Research,Microscopy,1984,0.52,0.52
Biomedical Research,Microscopy,1985,0.58,0.53
Biomedical Research,Microscopy,1986,0.45,0.51
Biomedical Research,Microscopy,1987,0.54,0.59
Biomedical Research,Microscopy,1988,0.59,0.62
Biomedical Research,Microscopy,1989,0.46,0.56
Biomedical Research,Microscopy,1990,0.51,0.57
Biomedical Research,Microscopy,1991,0.44,0.54
Biomedical Research,Microscopy,1992,0.51,0.61
Biomedical Research,Microscopy,1993,0.54,0.6
Biomedical Research,Microscopy,1994,0.51,0.57
Biomedical Research,Microscopy,1995,0.56,0.64
Biomedical Research,Microscopy,1996,0.49,0.57
Biomedical Research,Microscopy,1997,0.5,0.65
Biomedical Research,Microscopy,1998,0.51,0.63
Biomedical Research,Microscopy,1999,0.51,0.62
Biomedical Research,Microscopy,2000,0.47,0.6
Biomedical Research,Microscopy,2001,0.61,0.69
Biomedical Research,Microscopy,2002,0.53,0.65
Biomedical Research,Microscopy,2003,0.53,0.65
Biomedical Research,Microscopy,2004,0.55,0.62
Biomedical Research,Microscopy,2005,0.53,0.63
Biomedical Research,Microscopy,2006,0.56,0.59
Biomedical Research,Microscopy,2007,0.57,0.65
Biomedical Research,Microscopy,2008,0.57,0.62
Biomedical Research,Microscopy,2009,0.61,0.65
Biomedical Research,Microscopy,2010,0.55,0.63
Biomedical Research,Microscopy,2011,0.61,0.63
Biomedical Research,Microscopy,2012,0.62,0.64
Biomedical Research,Microscopy,2013,0.61,0.62
Biomedical Research,Microscopy,2014,0.63,0.63
Biomedical Research,Miscellaneous Biomedical Research,1961,0.68,0.56
Biomedical Research,Miscellaneous Biomedical Research,1962,0.71,0.66
Biomedical Research,Miscellaneous Biomedical Research,1963,0.65,0.62
Biomedical Research,Miscellaneous Biomedical Research,1964,0.71,0.57
Biomedical Research,Miscellaneous Biomedical Research,1965,0.64,0.61
Biomedical Research,Miscellaneous Biomedical Research,1966,0.67,0.66
Biomedical Research,Miscellaneous Biomedical Research,1967,0.69,0.63
Biomedical Research,Miscellaneous Biomedical Research,1968,0.63,0.62
Biomedical Research,Miscellaneous Biomedical Research,1969,0.62,0.62
Biomedical Research,Miscellaneous Biomedical Research,1970,0.65,0.67
Biomedical Research,Miscellaneous Biomedical Research,1971,0.63,0.67
Biomedical Research,Miscellaneous Biomedical Research,1972,0.61,0.63
Biomedical Research,Miscellaneous Biomedical Research,1973,0.64,0.66
Biomedical Research,Miscellaneous Biomedical Research,1974,0.62,0.64
Biomedical Research,Miscellaneous Biomedical Research,1975,0.63,0.63
Biomedical Research,Miscellaneous Biomedical Research,1976,0.61,0.64
Biomedical Research,Miscellaneous Biomedical Research,1977,0.61,0.66
Biomedical Research,Miscellaneous Biomedical Research,1978,0.61,0.64
Biomedical Research,Miscellaneous Biomedical Research,1979,0.6,0.63
Biomedical Research,Miscellaneous Biomedical Research,1980,0.61,0.64
Biomedical Research,Miscellaneous Biomedical Research,1981,0.6,0.64
Biomedical Research,Miscellaneous Biomedical Research,1982,0.62,0.64
Biomedical Research,Miscellaneous Biomedical Research,1983,0.61,0.65
Biomedical Research,Miscellaneous Biomedical Research,1984,0.62,0.64
Biomedical Research,Miscellaneous Biomedical Research,1985,0.61,0.64
Biomedical Research,Miscellaneous Biomedical Research,1986,0.64,0.62
Biomedical Research,Miscellaneous Biomedical Research,1987,0.59,0.63
Biomedical Research,Miscellaneous Biomedical Research,1988,0.58,0.63
Biomedical Research,Miscellaneous Biomedical Research,1989,0.59,0.63
Biomedical Research,Miscellaneous Biomedical Research,1990,0.57,0.63
Biomedical Research,Miscellaneous Biomedical Research,1991,0.56,0.63
Biomedical Research,Miscellaneous Biomedical Research,1992,0.56,0.62
Biomedical Research,Miscellaneous Biomedical Research,1993,0.57,0.64
Biomedical Research,Miscellaneous Biomedical Research,1994,0.55,0.62
Biomedical Research,Miscellaneous Biomedical Research,1995,0.58,0.65
Biomedical Research,Miscellaneous Biomedical Research,1996,0.56,0.64
Biomedical Research,Miscellaneous Biomedical Research,1997,0.56,0.64
Biomedical Research,Miscellaneous Biomedical Research,1998,0.57,0.65
Biomedical Research,Miscellaneous Biomedical Research,1999,0.55,0.64
Biomedical Research,Miscellaneous Biomedical Research,2000,0.56,0.66
Biomedical Research,Miscellaneous Biomedical Research,2001,0.56,0.64
Biomedical Research,Miscellaneous Biomedical Research,2002,0.55,0.66
Biomedical Research,Miscellaneous Biomedical Research,2003,0.55,0.66
Biomedical Research,Miscellaneous Biomedical Research,2004,0.57,0.67
Biomedical Research,Miscellaneous Biomedical Research,2005,0.56,0.67
Biomedical Research,Miscellaneous Biomedical Research,2006,0.56,0.65
Biomedical Research,Miscellaneous Biomedical Research,2007,0.58,0.65
Biomedical Research,Miscellaneous Biomedical Research,2008,0.6,0.65
Biomedical Research,Miscellaneous Biomedical Research,2009,0.59,0.66
Biomedical Research,Miscellaneous Biomedical Research,2010,0.58,0.65
Biomedical Research,Miscellaneous Biomedical Research,2011,0.59,0.65
Biomedical Research,Miscellaneous Biomedical Research,2012,0.6,0.65
Biomedical Research,Miscellaneous Biomedical Research,2013,0.61,0.64
Biomedical Research,Miscellaneous Biomedical Research,2014,0.61,0.68
Biomedical Research,Nutrition & Dietetic,1950,0.37,0.54
Biomedical Research,Nutrition & Dietetic,1951,0.41,0.52
Biomedical Research,Nutrition & Dietetic,1952,0.42,0.52
Biomedical Research,Nutrition & Dietetic,1953,0.45,0.53
Biomedical Research,Nutrition & Dietetic,1954,0.44,0.51
Biomedical Research,Nutrition & Dietetic,1955,0.46,0.52
Biomedical Research,Nutrition & Dietetic,1956,0.46,0.59
Biomedical Research,Nutrition & Dietetic,1957,0.46,0.56
Biomedical Research,Nutrition & Dietetic,1958,0.39,0.56
Biomedical Research,Nutrition & Dietetic,1959,0.43,0.5
Biomedical Research,Nutrition & Dietetic,1960,0.42,0.54
Biomedical Research,Nutrition & Dietetic,1961,0.45,0.55
Biomedical Research,Nutrition & Dietetic,1962,0.46,0.56
Biomedical Research,Nutrition & Dietetic,1963,0.44,0.52
Biomedical Research,Nutrition & Dietetic,1964,0.47,0.55
Biomedical Research,Nutrition & Dietetic,1965,0.44,0.56
Biomedical Research,Nutrition & Dietetic,1966,0.44,0.56
Biomedical Research,Nutrition & Dietetic,1967,0.44,0.54
Biomedical Research,Nutrition & Dietetic,1968,0.41,0.54
Biomedical Research,Nutrition & Dietetic,1969,0.44,0.55
Biomedical Research,Nutrition & Dietetic,1970,0.44,0.56
Biomedical Research,Nutrition & Dietetic,1971,0.42,0.57
Biomedical Research,Nutrition & Dietetic,1972,0.44,0.54
Biomedical Research,Nutrition & Dietetic,1973,0.46,0.57
Biomedical Research,Nutrition & Dietetic,1974,0.44,0.58
Biomedical Research,Nutrition & Dietetic,1975,0.45,0.55
Biomedical Research,Nutrition & Dietetic,1976,0.5,0.56
Biomedical Research,Nutrition & Dietetic,1977,0.47,0.56
Biomedical Research,Nutrition & Dietetic,1978,0.49,0.56
Biomedical Research,Nutrition & Dietetic,1979,0.49,0.55
Biomedical Research,Nutrition & Dietetic,1980,0.48,0.57
Biomedical Research,Nutrition & Dietetic,1981,0.5,0.56
Biomedical Research,Nutrition & Dietetic,1982,0.51,0.57
Biomedical Research,Nutrition & Dietetic,1983,0.47,0.55
Biomedical Research,Nutrition & Dietetic,1984,0.5,0.55
Biomedical Research,Nutrition & Dietetic,1985,0.53,0.56
Biomedical Research,Nutrition & Dietetic,1986,0.5,0.56
Biomedical Research,Nutrition & Dietetic,1987,0.51,0.57
Biomedical Research,Nutrition & Dietetic,1988,0.51,0.55
Biomedical Research,Nutrition & Dietetic,1989,0.52,0.56
Biomedical Research,Nutrition & Dietetic,1990,0.51,0.58
Biomedical Research,Nutrition & Dietetic,1991,0.51,0.57
Biomedical Research,Nutrition & Dietetic,1992,0.5,0.58
Biomedical Research,Nutrition & Dietetic,1993,0.49,0.56
Biomedical Research,Nutrition & Dietetic,1994,0.51,0.57
Biomedical Research,Nutrition & Dietetic,1995,0.5,0.57
Biomedical Research,Nutrition & Dietetic,1996,0.51,0.59
Biomedical Research,Nutrition & Dietetic,1997,0.52,0.58
Biomedical Research,Nutrition & Dietetic,1998,0.53,0.59
Biomedical Research,Nutrition & Dietetic,1999,0.53,0.59
Biomedical Research,Nutrition & Dietetic,2000,0.53,0.6
Biomedical Research,Nutrition & Dietetic,2001,0.55,0.6
Biomedical Research,Nutrition & Dietetic,2002,0.55,0.61
Biomedical Research,Nutrition & Dietetic,2003,0.54,0.6
Biomedical Research,Nutrition & Dietetic,2004,0.54,0.62
Biomedical Research,Nutrition & Dietetic,2005,0.56,0.61
Biomedical Research,Nutrition & Dietetic,2006,0.56,0.6
Biomedical Research,Nutrition & Dietetic,2007,0.58,0.61
Biomedical Research,Nutrition & Dietetic,2008,0.57,0.59
Biomedical Research,Nutrition & Dietetic,2009,0.56,0.56
Biomedical Research,Nutrition & Dietetic,2010,0.58,0.59
Biomedical Research,Nutrition & Dietetic,2011,0.59,0.57
Biomedical Research,Nutrition & Dietetic,2012,0.59,0.57
Biomedical Research,Nutrition & Dietetic,2013,0.59,0.55
Biomedical Research,Nutrition & Dietetic,2014,0.59,0.53
Biomedical Research,Parasitology,1950,0.53,0.5
Biomedical Research,Parasitology,1951,0.47,0.5
Biomedical Research,Parasitology,1952,0.52,0.49
Biomedical Research,Parasitology,1953,0.54,0.5
Biomedical Research,Parasitology,1954,0.57,0.44
Biomedical Research,Parasitology,1955,0.52,0.48
Biomedical Research,Parasitology,1956,0.44,0.48
Biomedical Research,Parasitology,1957,0.39,0.39
Biomedical Research,Parasitology,1958,0.44,0.45
Biomedical Research,Parasitology,1959,0.42,0.4
Biomedical Research,Parasitology,1960,0.4,0.39
Biomedical Research,Parasitology,1961,0.4,0.4
Biomedical Research,Parasitology,1962,0.44,0.39
Biomedical Research,Parasitology,1963,0.41,0.43
Biomedical Research,Parasitology,1964,0.4,0.4
Biomedical Research,Parasitology,1965,0.33,0.41
Biomedical Research,Parasitology,1966,0.31,0.38
Biomedical Research,Parasitology,1967,0.32,0.38
Biomedical Research,Parasitology,1968,0.31,0.4
Biomedical Research,Parasitology,1969,0.35,0.39
Biomedical Research,Parasitology,1970,0.32,0.43
Biomedical Research,Parasitology,1971,0.33,0.41
Biomedical Research,Parasitology,1972,0.34,0.44
Biomedical Research,Parasitology,1973,0.33,0.41
Biomedical Research,Parasitology,1974,0.35,0.41
Biomedical Research,Parasitology,1975,0.35,0.41
Biomedical Research,Parasitology,1976,0.33,0.43
Biomedical Research,Parasitology,1977,0.35,0.44
Biomedical Research,Parasitology,1978,0.34,0.44
Biomedical Research,Parasitology,1979,0.35,0.44
Biomedical Research,Parasitology,1980,0.33,0.41
Biomedical Research,Parasitology,1981,0.33,0.4
Biomedical Research,Parasitology,1982,0.36,0.43
Biomedical Research,Parasitology,1983,0.35,0.41
Biomedical Research,Parasitology,1984,0.37,0.39
Biomedical Research,Parasitology,1985,0.36,0.41
Biomedical Research,Parasitology,1986,0.36,0.4
Biomedical Research,Parasitology,1987,0.41,0.42
Biomedical Research,Parasitology,1988,0.37,0.41
Biomedical Research,Parasitology,1989,0.38,0.41
Biomedical Research,Parasitology,1990,0.36,0.42
Biomedical Research,Parasitology,1991,0.36,0.42
Biomedical Research,Parasitology,1992,0.37,0.42
Biomedical Research,Parasitology,1993,0.37,0.44
Biomedical Research,Parasitology,1994,0.36,0.43
Biomedical Research,Parasitology,1995,0.37,0.44
Biomedical Research,Parasitology,1996,0.38,0.45
Biomedical Research,Parasitology,1997,0.37,0.46
Biomedical Research,Parasitology,1998,0.36,0.44
Biomedical Research,Parasitology,1999,0.36,0.46
Biomedical Research,Parasitology,2000,0.38,0.46
Biomedical Research,Parasitology,2001,0.37,0.45
Biomedical Research,Parasitology,2002,0.38,0.46
Biomedical Research,Parasitology,2003,0.4,0.46
Biomedical Research,Parasitology,2004,0.39,0.46
Biomedical Research,Parasitology,2005,0.39,0.45
Biomedical Research,Parasitology,2006,0.41,0.44
Biomedical Research,Parasitology,2007,0.4,0.41
Biomedical Research,Parasitology,2008,0.42,0.42
Biomedical Research,Parasitology,2009,0.4,0.4
Biomedical Research,Parasitology,2010,0.42,0.4
Biomedical Research,Parasitology,2011,0.43,0.38
Biomedical Research,Parasitology,2012,0.44,0.39
Biomedical Research,Parasitology,2013,0.45,0.38
Biomedical Research,Parasitology,2014,0.45,0.37
Biomedical Research,Physiology,1950,0.43,0.6
Biomedical Research,Physiology,1951,0.44,0.57
Biomedical Research,Physiology,1952,0.47,0.54
Biomedical Research,Physiology,1953,0.43,0.58
Biomedical Research,Physiology,1954,0.44,0.6
Biomedical Research,Physiology,1955,0.44,0.58
Biomedical Research,Physiology,1956,0.41,0.56
Biomedical Research,Physiology,1957,0.44,0.57
Biomedical Research,Physiology,1958,0.4,0.59
Biomedical Research,Physiology,1959,0.44,0.6
Biomedical Research,Physiology,1960,0.41,0.57
Biomedical Research,Physiology,1961,0.39,0.58
Biomedical Research,Physiology,1962,0.4,0.61
Biomedical Research,Physiology,1963,0.4,0.59
Biomedical Research,Physiology,1964,0.39,0.59
Biomedical Research,Physiology,1965,0.39,0.58
Biomedical Research,Physiology,1966,0.38,0.56
Biomedical Research,Physiology,1967,0.4,0.57
Biomedical Research,Physiology,1968,0.39,0.58
Biomedical Research,Physiology,1969,0.37,0.56
Biomedical Research,Physiology,1970,0.36,0.56
Biomedical Research,Physiology,1971,0.39,0.57
Biomedical Research,Physiology,1972,0.39,0.56
Biomedical Research,Physiology,1973,0.39,0.56
Biomedical Research,Physiology,1974,0.39,0.56
Biomedical Research,Physiology,1975,0.41,0.56
Biomedical Research,Physiology,1976,0.4,0.55
Biomedical Research,Physiology,1977,0.41,0.55
Biomedical Research,Physiology,1978,0.41,0.58
Biomedical Research,Physiology,1979,0.41,0.57
Biomedical Research,Physiology,1980,0.41,0.57
Biomedical Research,Physiology,1981,0.41,0.54
Biomedical Research,Physiology,1982,0.41,0.56
Biomedical Research,Physiology,1983,0.41,0.56
Biomedical Research,Physiology,1984,0.41,0.56
Biomedical Research,Physiology,1985,0.41,0.56
Biomedical Research,Physiology,1986,0.41,0.56
Biomedical Research,Physiology,1987,0.42,0.56
Biomedical Research,Physiology,1988,0.41,0.56
Biomedical Research,Physiology,1989,0.41,0.56
Biomedical Research,Physiology,1990,0.41,0.56
Biomedical Research,Physiology,1991,0.41,0.57
Biomedical Research,Physiology,1992,0.41,0.56
Biomedical Research,Physiology,1993,0.42,0.57
Biomedical Research,Physiology,1994,0.42,0.56
Biomedical Research,Physiology,1995,0.43,0.58
Biomedical Research,Physiology,1996,0.42,0.56
Biomedical Research,Physiology,1997,0.45,0.56
Biomedical Research,Physiology,1998,0.45,0.57
Biomedical Research,Physiology,1999,0.47,0.56
Biomedical Research,Physiology,2000,0.47,0.57
Biomedical Research,Physiology,2001,0.47,0.56
Biomedical Research,Physiology,2002,0.47,0.56
Biomedical Research,Physiology,2003,0.47,0.57
Biomedical Research,Physiology,2004,0.47,0.57
Biomedical Research,Physiology,2005,0.49,0.57
Biomedical Research,Physiology,2006,0.49,0.57
Biomedical Research,Physiology,2007,0.51,0.57
Biomedical Research,Physiology,2008,0.51,0.57
Biomedical Research,Physiology,2009,0.51,0.56
Biomedical Research,Physiology,2010,0.51,0.55
Biomedical Research,Physiology,2011,0.52,0.55
Biomedical Research,Physiology,2012,0.52,0.53
Biomedical Research,Physiology,2013,0.54,0.53
Biomedical Research,Physiology,2014,0.53,0.5
Biomedical Research,Virology,1953,0.68,0.47
Biomedical Research,Virology,1954,0.57,0.34
Biomedical Research,Virology,1955,0.57,0.19
Biomedical Research,Virology,1956,0.48,0.35
Biomedical Research,Virology,1957,0.49,0.27
Biomedical Research,Virology,1958,0.52,0.35
Biomedical Research,Virology,1959,0.49,0.34
Biomedical Research,Virology,1960,0.41,0.32
Biomedical Research,Virology,1961,0.52,0.33
Biomedical Research,Virology,1962,0.4,0.36
Biomedical Research,Virology,1963,0.35,0.34
Biomedical Research,Virology,1964,0.33,0.35
Biomedical Research,Virology,1965,0.28,0.31
Biomedical Research,Virology,1966,0.25,0.29
Biomedical Research,Virology,1967,0.33,0.3
Biomedical Research,Virology,1968,0.28,0.28
Biomedical Research,Virology,1969,0.25,0.27
Biomedical Research,Virology,1970,0.21,0.25
Biomedical Research,Virology,1971,0.19,0.24
Biomedical Research,Virology,1972,0.18,0.21
Biomedical Research,Virology,1973,0.18,0.22
Biomedical Research,Virology,1974,0.19,0.23
Biomedical Research,Virology,1975,0.18,0.25
Biomedical Research,Virology,1976,0.15,0.22
Biomedical Research,Virology,1977,0.15,0.27
Biomedical Research,Virology,1978,0.18,0.25
Biomedical Research,Virology,1979,0.17,0.24
Biomedical Research,Virology,1980,0.18,0.25
Biomedical Research,Virology,1981,0.17,0.24
Biomedical Research,Virology,1982,0.18,0.26
Biomedical Research,Virology,1983,0.19,0.25
Biomedical Research,Virology,1984,0.19,0.26
Biomedical Research,Virology,1985,0.22,0.28
Biomedical Research,Virology,1986,0.2,0.27
Biomedical Research,Virology,1987,0.2,0.29
Biomedical Research,Virology,1988,0.19,0.29
Biomedical Research,Virology,1989,0.18,0.28
Biomedical Research,Virology,1990,0.17,0.28
Biomedical Research,Virology,1991,0.18,0.29
Biomedical Research,Virology,1992,0.18,0.29
Biomedical Research,Virology,1993,0.2,0.31
Biomedical Research,Virology,1994,0.2,0.32
Biomedical Research,Virology,1995,0.19,0.31
Biomedical Research,Virology,1996,0.21,0.32
Biomedical Research,Virology,1997,0.21,0.32
Biomedical Research,Virology,1998,0.22,0.33
Biomedical Research,Virology,1999,0.24,0.34
Biomedical Research,Virology,2000,0.25,0.34
Biomedical Research,Virology,2001,0.26,0.35
Biomedical Research,Virology,2002,0.27,0.35
Biomedical Research,Virology,2003,0.27,0.36
Biomedical Research,Virology,2004,0.27,0.36
Biomedical Research,Virology,2005,0.29,0.36
Biomedical Research,Virology,2006,0.28,0.35
Biomedical Research,Virology,2007,0.29,0.35
Biomedical Research,Virology,2008,0.3,0.36
Biomedical Research,Virology,2009,0.3,0.35
Biomedical Research,Virology,2010,0.32,0.35
Biomedical Research,Virology,2011,0.33,0.34
Biomedical Research,Virology,2012,0.34,0.34
Biomedical Research,Virology,2013,0.35,0.34
Biomedical Research,Virology,2014,0.34,0.32
Chemistry,Analytical Chemistry,1950,0.36,0.34
Chemistry,Analytical Chemistry,1951,0.32,0.39
Chemistry,Analytical Chemistry,1952,0.32,0.41
Chemistry,Analytical Chemistry,1953,0.29,0.4
Chemistry,Analytical Chemistry,1954,0.31,0.37
Chemistry,Analytical Chemistry,1955,0.27,0.4
Chemistry,Analytical Chemistry,1956,0.25,0.7
Chemistry,Analytical Chemistry,1957,0.26,0.4
Chemistry,Analytical Chemistry,1958,0.28,0.54
Chemistry,Analytical Chemistry,1959,0.29,0.53
Chemistry,Analytical Chemistry,1960,0.28,0.38
Chemistry,Analytical Chemistry,1961,0.27,0.39
Chemistry,Analytical Chemistry,1962,0.25,0.29
Chemistry,Analytical Chemistry,1963,0.26,0.41
Chemistry,Analytical Chemistry,1964,0.3,0.36
Chemistry,Analytical Chemistry,1965,0.3,0.38
Chemistry,Analytical Chemistry,1966,0.31,0.33
Chemistry,Analytical Chemistry,1967,0.28,0.34
Chemistry,Analytical Chemistry,1968,0.32,0.35
Chemistry,Analytical Chemistry,1969,0.31,0.3
Chemistry,Analytical Chemistry,1970,0.31,0.36
Chemistry,Analytical Chemistry,1971,0.29,0.29
Chemistry,Analytical Chemistry,1972,0.3,0.32
Chemistry,Analytical Chemistry,1973,0.31,0.28
Chemistry,Analytical Chemistry,1974,0.33,0.29
Chemistry,Analytical Chemistry,1975,0.41,0.31
Chemistry,Analytical Chemistry,1976,0.36,0.29
Chemistry,Analytical Chemistry,1977,0.35,0.32
Chemistry,Analytical Chemistry,1978,0.34,0.31
Chemistry,Analytical Chemistry,1979,0.33,0.35
Chemistry,Analytical Chemistry,1980,0.32,0.31
Chemistry,Analytical Chemistry,1981,0.36,0.32
Chemistry,Analytical Chemistry,1982,0.33,0.32
Chemistry,Analytical Chemistry,1983,0.34,0.31
Chemistry,Analytical Chemistry,1984,0.34,0.31
Chemistry,Analytical Chemistry,1985,0.36,0.29
Chemistry,Analytical Chemistry,1986,0.34,0.28
Chemistry,Analytical Chemistry,1987,0.35,0.31
Chemistry,Analytical Chemistry,1988,0.34,0.31
Chemistry,Analytical Chemistry,1989,0.33,0.29
Chemistry,Analytical Chemistry,1990,0.33,0.3
Chemistry,Analytical Chemistry,1991,0.35,0.29
Chemistry,Analytical Chemistry,1992,0.34,0.31
